Borough,condition,estrato,property_type,neighborhood,Area,bedrooms,bathrooms,garages,Price
Norte-Centro Histórico,Usado,4,Apartamento,Betania,68,3,2,1,268000000
Norte-Centro Histórico,Usado,4,Casa,Betania,280,5,4,1,1000000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,74,2,2,1,230000000
Norte-Centro Histórico,Inmobiliaria,4,Apartamento,Betania,48,3,2,1,320000000
Norte-Centro Histórico,Usado,4,Casa,Betania,351,0,0,0,600000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,65,2,2,0,235000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,80,3,2,1,250000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,90,3,3,1,350000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,83,3,2,0,300000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,52,1,1,1,180000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,84,3,2,1,310000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,70,3,2,1,270000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,70,3,2,1,263000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,87,3,2,1,300000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,82,3,2,1,290000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,93,3,3,1,300000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,70,3,2,1,260000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,109,3,3,2,420000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,82,3,2,1,300000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,82,3,2,1,277000000
Norte-Centro Histórico,Usado,4,Casa,Bellavista,340,4,3,2,650000000
Norte-Centro Histórico,Usado,4,Casa,Bellavista,432,6,3,2,895000000
Norte-Centro Histórico,Usado,4,Casa,Bellavista,343,4,5,2,850000000
Norte-Centro Histórico,Usado,4,Casa,Bellavista,433,4,4,3,800000000
Norte-Centro Histórico,Usado,4,Casa,Bellavista,256,7,3,2,970000000
Norte-Centro Histórico,Usado,4,Casa,Bellavista,311,0,0,0,650000000
Norte-Centro Histórico,Usado,4,Casa,Bellavista,112,3,3,1,299500000
Norte-Centro Histórico,Usado,4,Casa,Bellavista,300,7,4,1,870000000
Norte-Centro Histórico,Usado,4,Casa,Bellavista,530,4,2,2,900000000
Norte-Centro Histórico,Usado,4,Casa,Bellavista,433,4,4,2,720000000
Norte-Centro Histórico,Usado,4,Casa,Bellavista,380,4,0,0,850000000
Norte-Centro Histórico,Inmobiliaria,4,Apartamento,Bellavista,120,3,3,1,360000000
Norte-Centro Histórico,Usado,4,Apartamento,Bellavista,70,2,3,1,245000000
Norte-Centro Histórico,Usado,4,Apartamento,Bellavista,88,3,3,1,346000000
Norte-Centro Histórico,Usado,4,Apartamento,Bellavista,100,3,3,1,250000000
Norte-Centro Histórico,Usado,4,Apartamento,Bellavista,66,2,2,1,270622796
Norte-Centro Histórico,Usado,4,Apartamento,Bellavista,87,3,2,1,190000000
Norte-Centro Histórico,Usado,4,Apartamento,Bellavista,64,3,2,1,200000000
Norte-Centro Histórico,Usado,4,Apartamento,Bellavista,89,3,3,1,370000000
Norte-Centro Histórico,Usado,4,Apartamento,Bellavista,89,3,3,1,346000000
Norte-Centro Histórico,Usado,4,Casa,Bellavista,140,5,4,1,550000000
Norte-Centro Histórico,Usado,4,Casa,Los Nogales,440,4,4,0,650000000
Norte-Centro Histórico,Usado,4,Casa,Los Nogales,237,6,3,2,550000000
Norte-Centro Histórico,Usado,4,Casa,Los Nogales,273,4,3,1,600000000
Norte-Centro Histórico,Usado,4,Casa,La Cumbre,320,5,4,1,930000000
Norte-Centro Histórico,Usado,4,Casa,Las Delicias,250,4,2,1,620000000
Norte-Centro Histórico,Usado,4,Casa,Las Delicias,123,4,4,1,355000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,187,3,2,0,440000000
Riomar,Usado,4,Apartamento,Altos del Prado,130,3,2,1,260000000
Norte-Centro Histórico,Usado,4,Casa,La Cumbre,135,3,3,1,410000000
Norte-Centro Histórico,Inmobiliaria,4,Casa,El Porvenir,450,3,4,0,1500000000
Norte-Centro Histórico,Usado,4,Casa,Las Delicias,450,5,4,2,850000000
Norte-Centro Histórico,Usado,4,Casa,Las Delicias,445,5,4,1,850000000
Norte-Centro Histórico,Usado,4,Casa,La Cumbre,106,3,3,1,330000000
Norte-Centro Histórico,Usado,4,Casa,Las Mercedes,207,4,2,1,680000000
Norte-Centro Histórico,Usado,4,Casa,La Campiña,608,4,2,3,900000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,110,3,2,1,240000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,77,2,2,0,250000000
Norte-Centro Histórico,Usado,4,Casa,El Porvenir,153,3,2,1,770000000
Norte-Centro Histórico,Usado,4,Casa,El Porvenir,248,4,3,2,800000000
Norte-Centro Histórico,Usado,4,Casa,Las Mercedes,300,4,2,0,360000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,97,3,3,1,305000000
Norte-Centro Histórico,Usado,4,Casa,Colombia,403,4,3,2,985000000
Norte-Centro Histórico,Inmobiliaria,4,Apartamento,Los Nogales,115,3,2,1,260000000
Riomar,Usado,4,Apartamento,Altos del Prado,113,3,2,1,240000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,108,4,2,1,340000000
Riomar,Usado,4,Apartamento,Andalucía,103,3,3,1,260000000
Norte-Centro Histórico,Usado,4,Casa,Colombia,340,4,4,1,800000000
Norte-Centro Histórico,Usado,4,Casa,Los Nogales,359,4,2,0,550000000
Norte-Centro Histórico,Usado,4,Casa,Nuevo Horizonte,570,3,3,0,850000000
Norte-Centro Histórico,Inmobiliaria,4,Apartamento,El Porvenir,89,2,1,1,175000000
Norte-Centro Histórico,Usado,4,Casa,El Porvenir,72,3,2,1,290000000
Norte-Centro Histórico,Usado,4,Casa,Colombia,190,3,3,0,320000000
Norte-Centro Histórico,Usado,4,Casa,Los Nogales,339,3,2,1,550000000
Norte-Centro Histórico,Usado,4,Casa,El Porvenir,379,8,7,5,1150000000
Norte-Centro Histórico,Usado,4,Apartamento,La Campiña,89,2,3,1,340500000
Norte-Centro Histórico,Usado,4,Casa,Colombia,660,9,6,1,1100000000
Norte-Centro Histórico,Usado,4,Apartamento,El Rosario,67,2,1,1,140000000
Norte-Centro Histórico,Usado,4,Apartamento,Santa Ana,89,3,3,1,355000000
Norte-Centro Histórico,Usado,4,Casa,Las Delicias,114,3,3,1,370000000
Norte-Centro Histórico,Usado,4,Casa,Las Delicias,420,8,5,1,630000000
Riomar,Usado,4,Apartamento,Andalucía,80,3,3,1,310000000
Norte-Centro Histórico,Usado,4,Casa,Los Nogales,275,4,3,3,650000000
Norte-Centro Histórico,Inmobiliaria,4,Apartamento,El Porvenir,100,2,3,1,313500000
