Borough,condition,estrato,property_type,neighborhood,Area,bedrooms,bathrooms,garages,Price
Norte-Centro Histórico,Usado,4,Apartamento,El Prado,159,3,2,1,330000000
Norte-Centro Histórico,Usado,4,Apartamento,El Prado,670,12,8,4,850000000
Norte-Centro Histórico,Usado,4,Apartamento,El Prado,169,3,2,1,290000000
Norte-Centro Histórico,Usado,4,Apartamento,El Prado,186,4,2,1,320000000
Norte-Centro Histórico,Usado,4,Casa,Betania,350,5,3,2,530000000
Norte-Centro Histórico,Usado,4,Casa,Betania,270,5,5,1,780000000
Norte-Centro Histórico,Usado,4,Casa,Betania,344,4,4,3,800000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,57,2,1,1,220000000
Riomar,Usado,4,Apartamento,Miramar,98,3,2,1,260000000
Riomar,Usado,4,Apartamento,Miramar,117,3,3,1,315000000
Riomar,Usado,4,Apartamento,Miramar,68,3,2,1,255000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,84,3,2,1,320000000
Norte-Centro Histórico,Usado,4,Casa,Betania,265,5,3,2,530000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,92,3,2,1,230000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,84,3,2,1,290000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,65,2,2,1,235000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,79,3,2,0,260000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,67,2,2,0,230000000
Riomar,Usado,4,Apartamento,Miramar,75,3,2,1,158000000
Riomar,Usado,4,Apartamento,Miramar,133,3,3,2,320000000
Norte-Centro Histórico,Usado,4,Apartamento,El Recreo,235,3,0,0,630000000
Norte-Centro Histórico,Usado,4,Apartamento,El Recreo,70,2,2,1,225000000
Riomar,Usado,4,Apartamento,Miramar,100,3,2,1,290000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,68,2,2,1,245000000
Norte-Centro Histórico,Usado,4,Casa,Betania,250,3,2,2,647000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,65,2,2,1,235000000
Riomar,Usado,4,Apartamento,Miramar,64,3,2,0,270000000
Riomar,Usado,4,Apartamento,Miramar,77,3,2,1,280000000
Norte-Centro Histórico,Usado,4,Casa,El Recreo,566,12,10,0,750000000
Norte-Centro Histórico,Usado,4,Casa,El Recreo,135,4,2,1,370000000
Riomar,Usado,4,Apartamento,Paraíso,144,2,2,2,430000000
Riomar,Usado,4,Apartamento,Paraíso,50,2,1,1,140000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,93,2,2,0,250000000
Norte-Centro Histórico,Usado,4,Casa,El Porvenir,400,6,5,0,700000000
Riomar,Usado,4,Apartamento,Altos del Prado,100,3,3,1,290000000
Norte-Centro Histórico,Usado,4,Casa,Las Delicias,570,5,5,4,1300000000
Norte-Centro Histórico,Usado,4,Casa,Santa Ana,297,4,2,1,600000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,135,3,3,1,450000000
Norte-Centro Histórico,Usado,4,Casa,La Cumbre,450,4,4,2,900000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,126,3,2,1,270000000
Riomar,Usado,4,Apartamento,Altos del Prado,126,3,2,1,268000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,100,3,2,1,250000000
Riomar,Usado,4,Apartamento,Altos del Prado,118,3,3,1,320000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,90,3,2,1,200000000
Norte-Centro Histórico,Usado,4,Apartamento,Los Nogales,82,2,2,1,170000000
Riomar,Usado,4,Apartamento,Altos del Prado,170,3,3,1,454000000
Norte-Centro Histórico,Usado,4,Apartamento,Los Nogales,70,2,2,1,250000000
Norte-Centro Histórico,Usado,4,Casa,Los Nogales,290,3,2,2,450000000
Norte-Centro Histórico,Usado,4,Casa,Las Delicias,109,3,3,1,255000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,73,3,2,1,200000000
Riomar,Usado,4,Apartamento,Altos del Prado,131,4,3,4,320000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,84,3,2,1,300000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,100,3,2,1,245000000
Riomar,Usado,4,Casa,Altos del Prado,800,7,4,4,2800000000
Sur Oriente,Usado,4,Apartamento,Las Palmas,56,3,2,1,168000000
Riomar,Usado,4,Apartamento,Villa del Este,176,3,2,1,450000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,110,3,2,1,250000000
Norte-Centro Histórico,Usado,4,Casa,Las Mercedes,216,3,1,0,350000000
Norte-Centro Histórico,Usado,4,Casa,La Campiña,400,4,2,2,950000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,64,2,2,2,235000000
Riomar,Usado,4,Casa,Pradomar,116,2,1,1,700000000
Norte-Centro Histórico,Usado,4,Apartamento,La Campiña,109,3,4,1,393000000
Norte-Centro Histórico,Usado,4,Casa,La Campiña,169,3,2,2,870000000
Norte-Centro Histórico,Usado,4,Casa,La Campiña,677,6,5,4,1490000000
Norte-Centro Histórico,Usado,4,Apartamento,Colombia,90,3,1,0,190000000
Norte-Centro Histórico,Usado,4,Apartamento,La Campiña,40,1,1,1,158000000
Norte-Centro Histórico,Usado,4,Casa,La Campiña,390,5,4,2,740000000
Norte-Centro Histórico,Usado,4,Apartamento,La Campiña,109,3,3,1,420000000
Norte-Centro Histórico,Usado,4,Apartamento,Colombia,137,3,2,0,260000000
Sur Occidente,Usado,4,Apartamento,La Florida,338,7,4,4,650000000
Norte-Centro Histórico,Usado,4,Apartamento,La Campiña,60,1,0,0,195000000
Riomar,Usado,4,Apartamento,Altos del Prado,135,3,3,1,370000000
Riomar,Usado,4,Apartamento,Altos del Prado,133,3,2,0,330000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,89,2,4,1,290000000
Norte-Centro Histórico,Usado,4,Apartamento,Alameda del Rio,56,2,2,0,170000000
Riomar,Usado,4,Apartamento,El Limoncito,116,3,2,2,340000000
Norte-Centro Histórico,Usado,4,Apartamento,Alameda del Rio,64,3,2,0,270000000
Riomar,Usado,4,Apartamento,Buenavista,66,2,2,1,310000000
Norte-Centro Histórico,Usado,4,Apartamento,Bellavista,67,3,2,1,350000000
Norte-Centro Histórico,Usado,4,Casa,Bellavista,234,3,2,1,700000000
Norte-Centro Histórico,Usado,4,Casa,Bellavista,335,4,2,1,750000000
Norte-Centro Histórico,Usado,4,Casa,Bellavista,317,6,4,0,680000000
Norte-Centro Histórico,Usado,4,Apartamento,Granadillo,82,2,2,0,330000000
Sur Occidente,Usado,4,Casa,Olaya,323,4,2,1,1350000000
Norte-Centro Histórico,Usado,4,Casa,La Concepción,212,4,2,2,760000000
Riomar,Usado,4,Apartamento,Paraíso,110,3,2,2,460000000
Sur Occidente,Usado,4,Casa,Olaya,165,3,2,0,438000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,39,1,1,1,160000000
Sur Occidente,Usado,4,Casa,Olaya,110,3,3,1,300000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,286,2,2,0,690000000
Norte-Centro Histórico,Inmobiliaria,4,Apartamento,La Concepción,32,1,1,1,87000000
Riomar,Usado,4,Apartamento,San Vicente,48,1,1,1,175000000
Sur Occidente,Usado,4,Casa,Olaya,249,3,3,1,380000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,65,2,2,1,225000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,65,2,2,1,235000000
Norte-Centro Histórico,Usado,4,Casa,Granadillo,450,4,2,4,1500000000
Riomar,Usado,4,Apartamento,San Vicente,136,3,2,1,290000000
Sur Occidente,Usado,4,Casa,Olaya,470,8,5,0,650000000
Riomar,Usado,4,Apartamento,Altos del Prado,107,3,3,1,295000000
Norte-Centro Histórico,Usado,4,Apartamento,El Prado,113,3,2,1,260000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,102,3,2,1,350000000
Riomar,Usado,4,Apartamento,Altos del Prado,115,3,2,1,290000000
Sur Occidente,Usado,4,Casa,Olaya,168,3,2,1,400000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,72,3,3,1,250000000
Norte-Centro Histórico,Usado,4,Apartamento,El Prado,113,3,3,1,260000000
Norte-Centro Histórico,Usado,4,Casa,La Concepción,500,5,4,1,930000000
Sur Occidente,Usado,4,Casa,Olaya,363,4,3,0,470000000
Norte-Centro Histórico,Usado,4,Casa,La Concepción,180,4,3,0,560000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,79,2,2,1,270000000
Sur Occidente,Usado,4,Apartamento,Olaya,65,3,1,1,180000000
Riomar,Usado,4,Apartamento,Altos de Riomar,78,2,1,1,230000000
Riomar,Usado,4,Apartamento,Altos del Prado,116,3,3,1,260000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,74,3,2,1,210000000
Norte-Centro Histórico,Usado,4,Apartamento,Granadillo,167,3,2,1,370000000
Norte-Centro Histórico,Usado,4,Apartamento,Granadillo,82,3,1,0,260000000
Norte-Centro Histórico,Usado,4,Casa,El Prado,400,13,10,3,900000000
Riomar,Usado,4,Apartamento,Altos del Prado,89,2,3,1,340500000
Norte-Centro Histórico,Usado,4,Casa,La Concepción,440,10,10,2,650000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,450,5,2,1,650000000
Sur Occidente,Usado,4,Casa,Las Mercedes Sur,270,5,4,2,800000000
Norte-Centro Histórico,Usado,4,Apartamento,Alameda del Rio,66,3,2,1,255000000
Norte-Centro Histórico,Usado,4,Apartamento,Bellavista,64,2,2,1,165000000
Riomar,Usado,4,Apartamento,Buenavista,76,3,2,1,210000000
Riomar,Usado,4,Apartamento,Paraíso,102,3,2,1,300000000
Norte-Centro Histórico,Usado,4,Casa,Las Mercedes,133,4,3,0,340000000
Sur Occidente,Usado,4,Casa,Olaya,132,4,1,0,280000000
Sur Occidente,Usado,4,Casa,Olaya,110,3,2,1,300000000
Norte-Centro Histórico,Usado,4,Apartamento,El Tabor,90,3,3,1,350000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,40,1,1,1,140000000
Riomar,Usado,4,Apartamento,Villa Campestre,97,3,2,2,320000000
Riomar,Usado,4,Apartamento,Altos del Prado,101,2,2,1,260000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,87,3,2,1,285000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,81,3,2,1,250000000
Norte-Centro Histórico,Usado,4,Apartamento,Ciudad Jardín,80,3,2,1,210000000
Norte-Centro Histórico,Usado,4,Apartamento,Ciudad Jardín,112,3,3,0,300000000
Norte-Centro Histórico,Usado,4,Apartamento,Ciudad Jardín,98,4,3,1,300000000
Norte-Centro Histórico,Usado,4,Casa,Ciudad Jardín,371,4,2,4,1300000000
Norte-Centro Histórico,Usado,4,Casa,Ciudad Jardín,600,3,3,4,800000000
Norte-Centro Histórico,Usado,4,Casa,Ciudad Jardín,149,4,4,2,550000000
Soledad,Usado,4,Casa,Ciudadela Metropolitana,300,6,4,3,580000000
Norte-Centro Histórico,Usado,4,Casa,Ciudad Jardín,131,3,2,1,375000000
Norte-Centro Histórico,Usado,4,Apartamento,Ciudad Jardín,115,3,3,1,340000000
Norte-Centro Histórico,Usado,4,Apartamento,Villa Country,298,4,5,2,650000000
Norte-Centro Histórico,Usado,4,Apartamento,Ciudad Jardín,100,3,3,1,330000000
Norte-Centro Histórico,Usado,4,Apartamento,Ciudad Jardín,210,3,2,1,320000000
Soledad,Usado,4,Apartamento,Ciudadela Metropolitana,104,3,3,1,422000000
Soledad,Usado,4,Apartamento,Ciudadela Metropolitana,88,3,2,1,357000000
Norte-Centro Histórico,Usado,4,Apartamento,Ciudad Jardín,36,1,1,1,165000000
Norte-Centro Histórico,Usado,4,Casa,Ciudad Jardín,173,4,3,1,390000000
Norte-Centro Histórico,Usado,4,Casa,Ciudad Jardín,482,8,7,4,700000000
Norte-Centro Histórico,Usado,4,Apartamento,Ciudad Jardín,98,3,2,1,220000000
Norte-Centro Histórico,Usado,4,Apartamento,Ciudad Jardín,40,1,1,0,127000000
Norte-Centro Histórico,Usado,4,Casa,Ciudad Jardín,150,3,1,1,650000000
Norte-Centro Histórico,Usado,4,Apartamento,Ciudad Jardín,112,3,3,1,315000000
Norte-Centro Histórico,Usado,4,Apartamento,Ciudad Jardín,110,3,3,2,440000000
Norte-Centro Histórico,Usado,4,Apartamento,Ciudad Jardín,110,3,3,1,390000000
Norte-Centro Histórico,Usado,4,Apartamento,Ciudad Jardín,96,3,2,1,300000000
Norte-Centro Histórico,Usado,4,Apartamento,Ciudad Jardín,350,4,3,3,1250000000
Norte-Centro Histórico,Usado,4,Apartamento,Ciudad Jardín,320,4,3,4,580000000
Norte-Centro Histórico,Usado,4,Apartamento,Ciudad Jardín,116,3,3,1,280000000
Norte-Centro Histórico,Usado,4,Apartamento,Ciudad Jardín,134,3,3,3,545000000
Norte-Centro Histórico,Usado,4,Apartamento,Ciudad Jardín,165,4,3,0,450000000
Norte-Centro Histórico,Usado,4,Apartamento,Villa Country,71,2,1,0,380000000
Norte-Centro Histórico,Usado,4,Apartamento,El Rosario,75,2,2,1,199000000
Norte-Centro Histórico,Usado,4,Casa,Las Mercedes,250,4,2,2,520000000
Norte-Centro Histórico,Usado,4,Casa,Las Mercedes,338,5,5,3,850000000
Norte-Centro Histórico,Usado,4,Casa,Las Mercedes,300,5,3,2,560000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Mercedes,178,3,3,1,600000000
Riomar,Usado,4,Apartamento,Villa Carolina,118,3,3,1,500000000
Riomar,Usado,4,Apartamento,Villa Carolina,83,3,3,1,300000000
Riomar,Usado,4,Apartamento,Villa Carolina,113,3,3,0,460000000
Riomar,Usado,4,Apartamento,Villa Carolina,98,3,3,0,375000000
Riomar,Usado,4,Casa,Villa Carolina,105,3,3,1,340000000
Riomar,Usado,4,Casa,Villa Carolina,95,3,3,1,330000000
Riomar,Inmobiliaria,4,Casa,Villa Carolina,125,3,2,2,400000000
Riomar,Usado,4,Casa,Villa Carolina,100,3,3,1,330000000
Riomar,Usado,4,Apartamento,Villa Carolina,96,3,2,2,360000000
Riomar,Usado,4,Apartamento,Villa Carolina,78,3,2,1,310000000
Riomar,Usado,4,Apartamento,Villa Carolina,68,2,1,1,255000000
Riomar,Inmobiliaria,4,Apartamento,Villa Carolina,86,3,3,1,330000000
Riomar,Usado,4,Apartamento,Villa Carolina,93,3,3,1,320000000
Riomar,Usado,4,Apartamento,Villa Carolina,87,3,3,1,310000000
Riomar,Usado,4,Apartamento,Villa Carolina,68,3,2,1,263000000
Riomar,Usado,4,Casa,Villa Carolina,115,3,3,2,339000000
Riomar,Usado,4,Apartamento,Villa Carolina,99,3,2,2,339000000
Riomar,Inmobiliaria,4,Apartamento,Villa Carolina,96,3,3,2,380000000
Norte-Centro Histórico,Usado,4,Apartamento,Ciudad Jardín,133,3,2,1,280000000
Norte-Centro Histórico,Usado,4,Casa,Ciudad Jardín,123,4,3,2,430000000
Norte-Centro Histórico,Inmobiliaria,4,Apartamento,Ciudad Jardín,116,3,2,1,300000000
Norte-Centro Histórico,Usado,4,Casa,Ciudad Jardín,500,4,3,3,950000000
Norte-Centro Histórico,Usado,4,Apartamento,Ciudad Jardín,122,3,2,1,280000000
Norte-Centro Histórico,Inmobiliaria,4,Apartamento,Ciudad Jardín,116,3,3,1,310000000
Soledad,Usado,4,Apartamento,Ciudadela Metropolitana,76,2,3,1,311000000
Riomar,Usado,4,Apartamento,Villa Campestre,400,3,2,2,1300000000
Riomar,Usado,4,Casa,Villa Campestre,240,3,4,2,1100000000
Riomar,Usado,4,Apartamento,Villa Campestre,140,3,4,2,530000000
Riomar,Usado,4,Apartamento,Villa Campestre,119,4,5,0,420000000
Norte-Centro Histórico,Usado,4,Casa,Nuevo Horizonte,315,4,4,1,730000000
Norte-Centro Histórico,Usado,4,Apartamento,Los Alpes,97,3,1,1,320000000
Riomar,Usado,4,Apartamento,Villa Campestre,83,3,2,1,260000000
Norte-Centro Histórico,Usado,4,Apartamento,Nuevo Horizonte,92,3,2,1,350000000
Riomar,Usado,4,Apartamento,Villa Campestre,103,3,3,2,340000000
Riomar,Usado,4,Apartamento,Villa Campestre,108,3,3,2,420000000
Riomar,Usado,4,Casa,Villa Campestre,159,3,2,2,570000000
Riomar,Usado,4,Apartamento,El Golf,134,3,2,1,560000000
Norte-Centro Histórico,Usado,4,Apartamento,Nuevo Horizonte,138,3,2,1,390000000
Norte-Centro Histórico,Usado,4,Apartamento,Los Alpes,110,3,2,1,360000000
Norte-Centro Histórico,Usado,4,Apartamento,Los Alpes,80,3,2,1,290000000
Riomar,Usado,4,Apartamento,Villa Campestre,800,2,2,1,215000000
Riomar,Usado,4,Apartamento,Villa Campestre,104,3,3,1,340000000
Riomar,Usado,4,Apartamento,Villa Carolina,78,3,2,1,310000000
Riomar,Usado,4,Apartamento,Villa Carolina,87,3,3,1,330000000
Riomar,Usado,4,Apartamento,Villa Carolina,87,3,3,1,310000000
Riomar,Usado,4,Apartamento,Villa Carolina,94,3,3,1,340000000
Riomar,Usado,4,Apartamento,Villa Carolina,95,3,2,1,315000000
Riomar,Usado,4,Apartamento,Villa Carolina,78,3,2,1,295000000
Riomar,Usado,4,Apartamento,Villa Carolina,1,3,2,0,270000000
Riomar,Usado,4,Casa,Villa Carolina,95,3,2,0,320000000
Norte-Centro Histórico,Usado,4,Casa,Los Alpes,137,3,2,2,550000000
Riomar,Usado,4,Casa,Villa Campestre,143,3,4,1,550000000
Riomar,Usado,4,Casa,Puerto Colombia,480,3,4,4,2880000000
Riomar,Usado,4,Casa,Villa Campestre,144,3,3,1,450000000
Norte-Centro Histórico,Usado,4,Apartamento,Nuevo Horizonte,550,3,3,1,550000000
Riomar,Usado,4,Apartamento,Villa Campestre,116,3,4,2,420000000
Riomar,Usado,4,Casa,Villa Campestre,162,3,3,2,560000000
Norte-Centro Histórico,Usado,4,Casa,Nuevo Horizonte,182,3,2,1,490000000
Riomar,Usado,4,Casa,Villa Campestre,400,4,5,0,1600000000
Riomar,Usado,4,Apartamento,El Golf,105,3,2,1,428000000
Riomar,Usado,4,Apartamento,Villa Campestre,159,3,2,4,550000000
Norte-Centro Histórico,Usado,4,Apartamento,Nuevo Horizonte,142,3,2,1,390000000
Riomar,Usado,4,Apartamento,Villa Campestre,116,3,2,2,390000000
Norte-Centro Histórico,Usado,4,Apartamento,Nuevo Horizonte,100,2,3,1,300000000
Riomar,Usado,4,Apartamento,Villa Campestre,164,4,4,1,550000000
Norte-Centro Histórico,Usado,4,Apartamento,Nuevo Horizonte,110,3,2,1,345000000
Norte-Centro Histórico,Usado,4,Apartamento,Nuevo Horizonte,110,3,3,1,360000000
Riomar,Usado,4,Casa,Villa Campestre,180,3,3,2,660000000
Riomar,Usado,4,Apartamento,Villa Campestre,99,3,3,1,415000000
Riomar,Usado,4,Apartamento,Villa Campestre,92,2,2,2,305000000
Riomar,Usado,4,Apartamento,Riomar,65,3,2,1,250000000
Riomar,Inmobiliaria,4,Apartamento,Miramar,74,3,2,0,189000000
Riomar,Usado,4,Apartamento,Paraíso,109,3,2,1,427500000
Riomar,Usado,4,Casa,Riomar,325,10,9,2,850000000
Riomar,Usado,4,Apartamento,Miramar,102,3,2,1,450000000
Riomar,Inmobiliaria,4,Casa,Paraíso,176,3,3,0,490000000
Riomar,Usado,4,Apartamento,Riomar,65,3,2,1,260000000
Riomar,Usado,4,Casa,Riomar,144,3,3,2,470000000
Riomar,Usado,4,Apartamento,Riomar,162,3,2,1,350000000
Riomar,Usado,4,Apartamento,Miramar,120,4,3,1,370000000
Riomar,Usado,4,Apartamento,Riomar,155,3,4,2,500000000
Riomar,Usado,4,Casa,Paraíso,203,3,1,0,680000000
Riomar,Usado,4,Apartamento,Riomar,119,3,4,2,500000000
Riomar,Usado,4,Apartamento,Miramar,108,3,2,1,280000000
Riomar,Usado,4,Apartamento,Miramar,83,3,2,1,190000000
Riomar,Usado,4,Apartamento,Miramar,74,3,2,1,178000000
Riomar,Usado,4,Apartamento,Riomar,64,3,2,1,260000000
Riomar,Usado,4,Apartamento,Miramar,71,3,2,1,210000000
Riomar,Usado,4,Apartamento,Miramar,82,3,3,1,175000000
Riomar,Usado,4,Apartamento,Miramar,105,3,2,1,270000000
Riomar,Usado,4,Apartamento,Miramar,75,3,2,1,194900000
Riomar,Usado,4,Apartamento,Miramar,93,3,2,1,340000000
Riomar,Usado,4,Apartamento,Riomar,111,2,2,1,460000000
Riomar,Usado,4,Apartamento,Paraíso,110,2,2,1,340000000
Riomar,Usado,4,Apartamento,Riomar,89,3,2,1,270000000
Riomar,Usado,4,Apartamento,Riomar,119,3,4,2,500000000
Riomar,Inmobiliaria,4,Apartamento,Riomar,109,3,3,2,480000000
Riomar,Usado,4,Apartamento,Riomar,123,3,2,1,380000000
Riomar,Usado,4,Apartamento,Miramar,108,3,4,1,320000000
Riomar,Usado,4,Apartamento,Riomar,111,3,2,1,300000000
Riomar,Usado,4,Apartamento,Miramar,63,3,2,1,265000000
Riomar,Usado,4,Apartamento,Miramar,75,3,2,1,165000000
Norte-Centro Histórico,Usado,4,Casa,El Tabor,144,3,3,1,450000000
Riomar,Usado,4,Apartamento,Villamar,86,3,2,1,412000000
Riomar,Usado,4,Apartamento,Villamar,109,3,4,2,460000000
Norte-Centro Histórico,Usado,4,Apartamento,El Tabor,116,3,2,1,280000000
Riomar,Usado,4,Apartamento,Andalucía,109,4,3,2,480000000
Riomar,Usado,4,Apartamento,Villamar,119,3,4,2,600000000
Norte-Centro Histórico,Usado,4,Apartamento,El Prado,106,3,3,1,350000000
Norte-Centro Histórico,Usado,4,Casa,El Tabor,182,3,4,1,420000000
Riomar,Usado,4,Apartamento,Villamar,111,3,3,2,450000000
Riomar,Usado,4,Apartamento,Villamar,96,3,2,1,460000000
Riomar,Usado,4,Apartamento,Villamar,109,3,3,2,456000000
Norte-Centro Histórico,Usado,4,Apartamento,El Prado,70,2,1,1,230000000
Norte-Centro Histórico,Usado,4,Apartamento,El Prado,85,2,2,2,205000000
Norte-Centro Histórico,Usado,4,Apartamento,Boston,90,3,2,1,240000000
Norte-Centro Histórico,Usado,4,Casa,Boston,130,3,2,0,270000000
Norte-Centro Histórico,Usado,4,Apartamento,Boston,87,3,2,1,270000000
Riomar,Usado,4,Apartamento,Altos del Prado,72,2,2,1,300000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,135,3,2,1,450000000
Riomar,Usado,4,Apartamento,Altos del Prado,101,3,2,1,320000000
Riomar,Usado,4,Apartamento,Villa del Este,94,2,3,2,350000000
Riomar,Usado,4,Apartamento,Miramar,64,3,2,1,250000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,84,3,2,1,325000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,66,3,2,1,269000000
Riomar,Usado,4,Casa,Villa del Este,210,4,4,2,515000000
Riomar,Usado,4,Casa,Paraíso,110,4,3,2,340000000
Riomar,Usado,4,Apartamento,Riomar,213,3,3,2,475000000
Riomar,Usado,4,Apartamento,Miramar,61,2,2,1,220000000
Riomar,Usado,4,Apartamento,Altamira,44,1,1,1,200000000
Riomar,Usado,4,Casa,Riomar,504,3,2,3,670000000
Riomar,Usado,4,Apartamento,Riomar,115,3,2,2,260000000
Riomar,Inmobiliaria,4,Apartamento,Riomar,116,3,2,1,215000000
Riomar,Usado,4,Casa,Paraíso,270,4,3,2,500000000
Riomar,Usado,4,Apartamento,Paraíso,86,3,2,1,328000000
Riomar,Usado,4,Apartamento,Riomar,119,3,4,2,520000000
Riomar,Usado,4,Apartamento,Riomar,64,3,2,1,250000000
Riomar,Usado,4,Apartamento,Riomar,142,3,2,0,549000000
Riomar,Usado,4,Apartamento,Riomar,122,3,2,1,290000000
Riomar,Usado,4,Apartamento,Miramar,61,2,2,1,210000000
Riomar,Usado,4,Casa,Paraíso,102,4,4,1,330000000
Riomar,Usado,4,Apartamento,Riomar,298,4,4,2,630000000
Riomar,Usado,4,Apartamento,Riomar,90,2,3,1,220000000
Riomar,Usado,4,Apartamento,Riomar,100,3,2,1,285000000
Riomar,Usado,4,Apartamento,Riomar,68,3,2,1,165000000
Riomar,Usado,4,Apartamento,Riomar,111,3,2,1,260000000
Riomar,Usado,4,Apartamento,Riomar,108,3,3,1,265000000
Riomar,Usado,4,Apartamento,Riomar,75,2,2,1,300000000
Riomar,Usado,4,Apartamento,Riomar,79,2,2,1,340000000
Riomar,Usado,4,Apartamento,Miramar,58,3,2,1,250000000
Riomar,Usado,4,Apartamento,Riomar,127,3,3,1,330000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,84,3,2,1,340000000
Norte-Centro Histórico,Usado,4,Apartamento,La Campiña,89,2,3,2,334000000
Sur Occidente,Usado,4,Casa,Olaya,231,3,2,1,320000000
Norte-Centro Histórico,Inmobiliaria,4,Apartamento,La Campiña,89,3,2,0,340500000
Sur Occidente,Usado,4,Apartamento,Olaya,75,3,2,1,155000000
Sur Occidente,Usado,4,Casa,Olaya,210,0,0,0,470000000
Sur Occidente,Usado,4,Casa,Olaya,527,3,3,0,670000000
Norte-Centro Histórico,Usado,4,Casa,Los Alpes,120,3,3,1,400000000
Sur Occidente,Usado,4,Casa,Olaya,390,0,0,0,540000000
Norte-Centro Histórico,Usado,4,Casa,La Campiña,260,4,2,1,850000000
Riomar,Usado,4,Casa,Andalucía,295,5,5,1,1200000000
Sur Occidente,Usado,4,Casa,Olaya,144,4,0,0,500000000
Norte-Centro Histórico,Usado,4,Casa,El Recreo,172,3,1,1,350000000
Sur Occidente,Usado,4,Casa,Olaya,363,4,2,0,460000000
Riomar,Usado,4,Apartamento,Andalucía,108,3,3,1,395000000
Norte-Centro Histórico,Usado,4,Apartamento,La Campiña,110,3,3,1,394000000
Riomar,Usado,4,Apartamento,Andalucía,113,3,3,1,210000000
Sur Occidente,Usado,4,Casa,Olaya,280,8,5,1,550000000
Riomar,Usado,4,Apartamento,Andalucía,77,2,2,1,296799000
Riomar,Usado,4,Apartamento,Andalucía,127,3,3,1,267000000
Sur Occidente,Usado,4,Casa,Olaya,341,4,3,1,360000000
Sur Occidente,Usado,4,Casa,Olaya,420,5,3,1,600000000
Riomar,Usado,4,Casa,Andalucía,300,3,4,2,650000000
Riomar,Usado,4,Apartamento,Andalucía,108,3,4,1,426300000
Riomar,Usado,4,Apartamento,Andalucía,108,3,3,1,395000000
Riomar,Usado,4,Apartamento,Andalucía,122,2,2,1,464210000
Sur Occidente,Usado,4,Apartamento,Olaya,80,3,2,0,189000000
Norte-Centro Histórico,Usado,4,Apartamento,La Campiña,127,3,3,1,300000000
Riomar,Usado,4,Apartamento,Andalucía,172,3,4,0,640000000
Riomar,Usado,4,Apartamento,Andalucía,136,3,3,1,298000000
Norte-Centro Histórico,Usado,4,Apartamento,La Campiña,376,3,3,2,668000000
Norte-Centro Histórico,Usado,4,Apartamento,La Campiña,97,2,3,2,397000000
Riomar,Usado,4,Apartamento,Andalucía,102,3,3,1,403495400
Riomar,Usado,4,Apartamento,Andalucía,80,3,1,1,199000000
Riomar,Usado,4,Apartamento,Andalucía,54,2,2,1,209000000
Norte-Centro Histórico,Usado,4,Apartamento,La Campiña,136,3,2,1,310000000
Riomar,Usado,4,Apartamento,Andalucía,124,3,3,1,270000000
Riomar,Usado,4,Apartamento,Andalucía,110,2,2,1,418550000
Riomar,Usado,4,Apartamento,Andalucía,94,3,2,0,180000000
Riomar,Usado,4,Apartamento,Andalucía,101,3,2,1,384810000
Norte-Centro Histórico,Usado,4,Apartamento,La Campiña,111,3,3,1,388000000
Riomar,Usado,4,Apartamento,Andalucía,108,0,0,0,426000000
